Designator,Mid X,Mid Y,Rotation,Layer
D1,59.861,-56.796,90.0,bottom
D10,78.911,-94.896,90.0,bottom
D11,97.961,-94.896,90.0,bottom
D12,117.011,-94.896,90.0,bottom
D2,78.911,-56.796,90.0,bottom
D3,97.961,-56.796,90.0,bottom
D4,117.011,-56.796,90.0,bottom
D5,59.861,-75.846,90.0,bottom
D6,78.911,-75.846,90.0,bottom
D7,97.961,-75.846,90.0,bottom
D8,117.011,-75.846,90.0,bottom
D9,59.861,-94.896,90.0,bottom
J1,131.302,-72.817,0.0,top
SW1,50.343,-52.243,0.0,bottom
SW10,69.393,-90.343,0.0,bottom
SW11,88.443,-90.343,0.0,bottom
SW12,107.493,-90.343,0.0,bottom
SW13,130.098,-88.882,270.0,top
SW2,69.393,-52.243,0.0,bottom
SW3,88.443,-52.243,0.0,bottom
SW4,107.493,-52.243,0.0,bottom
SW5,50.343,-71.293,0.0,bottom
SW6,69.393,-71.293,0.0,bottom
SW7,88.443,-71.293,0.0,bottom
SW8,107.493,-71.293,0.0,bottom
SW9,50.343,-90.343,0.0,bottom
U1,129.083,-54.468,0.0,top
